Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Bosques de La Victoria,44540,815000.0,3.0,3.0,2.0,1.0,0.0,179.0,260.0,
 Colonia Bosques de La Victoria,44540,840000.0,4.0,3.0,2.0,2.0,15.0,294.0,250.0,
 Colonia Circunvalación Guevara,44680,14000000.0,8.0,5.0,4.0,13.0,351.0,510.0,,
 Colonia Jardines de San José,44950,490000.0,4.0,2.0,2.0,2.0,0.0,175.0,350.0,
 Colonia Progreso,44730,650000.0,3.0,1.0,2.0,1.0,0.0,160.0,,
 Guadalajara,44660,7500000.0,3.0,4.0,2.0,0.0,179.0,100.0,,
 Colonia Del Fresno 1a. Sección,44900,2490000.0,2.0,2.0,1.0,2.0,0.0,186.0,215.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,525000.0,5.0,1.0,1.0,2.0,0.0,275.0,435.0,
 Colonia El Dean,44440,510000.0,4.0,2.0,1.0,2.0,0.0,103.0,120.0,
 Colonia El Rocio,44977,2073900.0,2.0,2.0,2.0,2.0,0.0,80.0,,
 Colonia Campo de Polo Chapalita,44500,7850000.0,2.0,2.0,3.0,1.0,40.0,248.0,210.0,
 Colonia Atlas Poniente,44870,750000.0,4.0,3.0,2.0,11.0,85.0,170.0,,
 Guadalajara,44520,11850000.0,7.0,4.0,3.0,0.0,465.0,509.0,,
 Colonia Jardines de San José,44950,1890000.0,2.0,2.0,1.0,2.0,38.0,60.0,110.0,10.0
 Colonia Jardines de La Paz,44860,3499000.0,3.0,2.0,1.0,2.0,0.0,123.0,194.0,
 Colonia Ferrocarril,44440,1686250.0,2.0,2.0,1.0,29.0,113.0,,,
 Colonia Santos Degollado,44710,3800000.0,9.0,3.0,2.0,2.0,0.0,300.0,450.0,
 Colonia Ladrón de Guevara,44600,7600000.0,6.0,2.0,2.0,1.0,50.0,389.0,,
 Colonia Colinas de San Javier,44660,30000000.0,3.0,6.0,6.0,2.0,46.0,1344.0,800.0,300.0
 Colonia Residencial San Andrés,44810,3785000.0,5.0,5.0,2.0,2.0,3.0,242.0,435.0,
 Colonia Jardines de San José,44950,612000.0,3.0,2.0,1.0,2.0,0.0,120.0,120.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,720000.0,3.0,2.0,2.0,2.0,0.0,160.0,200.0,
 Colonia Circunvalación Vallarta,44680,6499000.0,3.0,3.0,1.0,3.0,0.0,163.0,226.0,
 Colonia Huentitán El Bajo,44250,392040.0,2.0,1.0,1.0,2.0,16.0,147.0,120.0,
 Colonia Independencia,44290,480000.0,4.0,3.0,2.0,2.0,0.0,180.0,180.0,
 Colonia Lomas de Guevara,44657,9500000.0,3.0,2.0,2.0,2.0,40.0,250.0,384.0,30.0
 Colonia San Juan de Dios,44360,4230000.0,5.0,1.0,3.0,2.0,0.0,202.0,358.0,
 Colonia San Juan de Dios,44360,4230000.0,5.0,1.0,3.0,2.0,0.0,202.0,358.0,
 Colonia Jardines de Santa Isabel,44300,670000.0,3.0,3.0,2.0,2.0,14.0,181.0,350.0,
 Colonia Providencia 3a Secc,44630,8700000.0,3.0,3.0,2.0,2.0,0.0,265.0,350.0,
 Colonia Italia Providencia,44648,10900000.0,5.0,4.0,0.0,240.0,359.0,,,
 Colonia Residencial San Andrés,44810,590000.0,3.0,1.0,1.0,1.0,1.0,90.0,115.0,
 Colonia Santa Mónica,44220,1049865.0,3.0,2.0,1.0,16.0,97.0,1.0,,
 Colonia Analco,44450,2700000.0,4.0,2.0,1.0,2.0,50.0,146.0,250.0,
 Colonia Atlas Poniente,44870,1841000.0,3.0,2.0,1.0,2.0,8.0,112.0,150.0,1.0
 Colonia Lomas Del Country,44610,19500000.0,3.0,4.0,4.0,4.0,5.0,404.0,,
 Colonia Rinconada de La Victoria,44538,10500000.0,4.0,4.0,2.0,2.0,4.0,320.0,470.0,
 Colonia Ferrocarril,44440,1775000.0,4.0,2.0,0.0,113.0,,,,
 Colonia Bosques de La Victoria,44540,9000000.0,4.0,5.0,2.0,0.0,370.0,402.0,,
 Colonia Lomas de Independencia,44240,1550000.0,4.0,2.0,2.0,5.0,95.0,165.0,,
 Colonia Parques Del Nilo,44820,630000.0,3.0,1.0,2.0,1.0,0.0,145.0,,
 Colonia Jardines de San José,44950,1115000.0,3.0,2.0,2.0,1.0,0.0,120.0,150.0,7.0
 Colonia Colinas de La Normal,44270,8500000.0,3.0,2.0,0.0,270.0,270.0,,,
 Colonia Providencia 4a Secc,44639,8500000.0,5.0,4.0,2.0,28.0,252.0,287.0,,
 Colonia Campo de Polo Chapalita,44500,7850000.0,2.0,2.0,1.0,40.0,248.0,210.0,,
 Colonia Circunvalación Oblatos,44716,2200000.0,1.0,1.0,1.0,8.0,80.0,197.0,,
 Guadalajara,44670,23300000.0,3.0,3.0,5.0,0.0,621.0,532.0,,
 Colonia Bosques de La Victoria,44540,840000.0,4.0,3.0,2.0,2.0,18.0,294.0,250.0,5.0
 Colonia Jardines del Bosque Centro,44520,6950000.0,4.0,2.0,2.0,1.0,0.0,274.0,245.0,
 Colonia San Eugenio,44724,265000.0,4.0,3.0,2.0,1.0,0.0,140.0,290.0,
 Colonia San Eugenio,44724,265000.0,4.0,3.0,2.0,1.0,0.0,140.0,290.0,
 Colonia Jardines de Atemajac,44227,2600000.0,3.0,2.0,2.0,2.0,30.0,113.0,155.0,
