Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia Beatriz Hernández,44760,1154454.0,4.0,2.0,1.0,2.0,15.0,125.0,190.0,
 Colonia Circunvalación Guevara,44680,9300000.0,5.0,5.0,5.0,41.0,206.0,324.0,,
 Colonia Colinas de San Javier,44660,59900000.0,3.0,5.0,6.0,0.0,647.0,943.0,,
 Colonia Jardines del Bosque Centro,44520,22000000.0,10.0,6.0,14.0,2.0,62.0,603.0,804.0,
 Colonia Hernández Romo,44419,4300000.0,6.0,2.0,2.0,46.0,182.0,278.0,,
 Guadalajara,44660,21000000.0,3.0,3.0,4.0,0.0,647.0,316.0,,
 Colonia Italia Providencia,44648,8500000.0,3.0,2.0,2.0,0.0,306.0,241.0,,
 Colonia Ciudad Universitaria,44840,3900000.0,3.0,2.0,2.0,2.0,28.0,105.0,166.0,
 Colonia Providencia 2a Secc,44630,12768000.0,4.0,4.0,2.0,0.0,274.0,382.0,,
 Colonia Residencial Chapalita,44500,6300000.0,3.0,2.0,1.0,49.0,258.0,230.0,,
 Colonia Arcos Vallarta,44130,8950000.0,8.0,1.0,8.0,14.0,220.0,290.0,,
 Colonia Niños Héroes,44260,4900000.0,4.0,3.0,1.0,0.0,150.0,259.0,,
 Colonia Balcones de Oblatos,44720,2370000.0,2.0,1.0,0.0,132.0,169.0,,,
 Colonia Villas Del Nilo,44824,620000.0,3.0,2.0,2.0,2.0,0.0,136.0,120.0,
 Guadalajara,44100,19500000.0,3.0,3.0,0.0,1423.0,,,,
 Guadalajara,44660,15500000.0,4.0,3.0,4.0,0.0,287.0,350.0,,
 Guadalajara,44520,5989000.0,6.0,4.0,2.0,0.0,216.0,241.0,,
 Colonia Residencial Chapalita,44500,9500000.0,3.0,4.0,2.0,8.0,192.0,386.0,,
 Colonia Bosques de La Victoria,44540,790000.0,5.0,3.0,3.0,2.0,0.0,227.0,350.0,
 Colonia Jardines del Country,44210,750000.0,4.0,3.0,2.0,1.0,0.0,230.0,230.0,
 Colonia Colinas de La Normal,44270,4750000.0,4.0,2.0,2.0,0.0,168.0,168.0,,
 Colonia INFONAVIT San Rafael,44810,2700000.0,5.0,3.0,1.0,12.0,129.0,232.0,,
 Colonia Vallarta Poniente,44110,11900000.0,3.0,3.0,6.0,63.0,424.0,387.0,,
 Colonia Del Sur,44920,5700000.0,4.0,2.0,1.0,2.0,30.0,180.0,318.0,
 Colonia Terralta,44990,1052800.0,3.0,2.0,1.0,2.0,0.0,100.0,100.0,
 Colonia Bosques de La Victoria,44540,815000.0,5.0,3.0,2.0,2.0,10.0,260.0,179.0,10.0
 Colonia Santa Mónica,44220,3950000.0,5.0,3.0,1.0,2.0,20.0,131.0,208.0,
 Colonia Santa Mónica,44220,3950000.0,5.0,3.0,1.0,2.0,20.0,131.0,208.0,
 Colonia Italia Providencia,44648,13800000.0,4.0,5.0,2.0,23.0,319.0,393.0,,
 Colonia Providencia 2a Secc,44630,8200000.0,3.0,3.0,2.0,0.0,250.0,297.0,,
 Colonia Sutaj,44840,6200000.0,5.0,5.0,4.0,2.0,11.0,269.0,483.0,
 Colonia Jardines del Bosque Centro,44520,14880000.0,4.0,3.0,4.0,0.0,592.0,628.0,,
 Colonia Ladrón de Guevara,44600,10240000.0,5.0,3.0,4.0,2.0,76.0,300.0,269.0,
 Colonia Santa Eduwiges,44580,5000000.0,4.0,3.0,2.0,2.0,0.0,239.0,289.0,
 Colonia Santa María,44350,4480000.0,3.0,2.0,2.0,0.0,169.0,334.0,,
 Colonia Del Fresno 1a. Sección,44900,2057000.0,3.0,2.0,1.0,0.0,120.0,120.0,,
 Colonia San Antonio,44170,2480000.0,4.0,3.0,1.0,2.0,10.0,120.0,142.0,
 Colonia Jardines de La Paz Norte,44860,560000.0,4.0,3.0,2.0,2.0,0.0,200.0,,
 Colonia Agustín Yánez,44790,2375024.0,4.0,3.0,2.0,2.0,0.0,90.0,180.0,
 Colonia Residencial Chapalita,44500,6890000.0,3.0,3.0,2.0,0.0,272.0,200.0,,
 Colonia Guadalajara Oriente,44700,762224.0,3.0,2.0,1.0,0.0,80.0,80.0,,
 Colonia Atlas Poniente,44870,362000.0,3.0,1.0,1.0,2.0,10.0,75.0,75.0,1.0
 Colonia Bosques de La Victoria,44540,863000.0,4.0,3.0,1.0,0.0,296.0,101.0,,
 Colonia Lázaro Cárdenas,44490,2480000.0,2.0,1.0,1.0,0.0,70.0,120.0,,
 Colonia Lomas del Paraíso 1a. Sección,44250,1134800.0,3.0,2.0,1.0,2.0,0.0,100.0,100.0,
 Colonia Arcos Vallarta,44130,33000000.0,8.0,6.0,4.0,54.0,775.0,778.0,,
 Colonia Morelos,44910,1934000.0,2.0,1.0,1.0,1.0,0.0,180.0,121.0,
 Colonia Parques Del Nilo,44820,2790000.0,2.0,1.0,1.0,2.0,25.0,64.0,103.0,
 Colonia Morelos,44910,605378.0,2.0,2.0,1.0,1.0,16.0,150.0,90.0,
 Guadalajara,44660,15500000.0,4.0,4.0,2.0,0.0,287.0,350.0,,
 Colonia La Perla,44360,12900000.0,4.0,3.0,8.0,0.0,529.0,777.0,,
 Colonia La Aurora,44790,5500000.0,9.0,2.0,2.0,0.0,250.0,450.0,,
 Colonia Insurgentes 1a Secc,44820,1275800.0,3.0,2.0,1.0,2.0,0.0,110.0,110.0,
 Colonia Americana,44160,7400000.0,3.0,2.0,2.0,0.0,122.0,156.0,,
 Colonia Colinas de San Javier,44660,52000000.0,4.0,5.0,7.0,2.0,41.0,1000.0,534.0,
 Colonia Lomas de Independencia,44240,3950000.0,5.0,5.0,2.0,30.0,300.0,283.0,,
 Colonia Olímpica,44430,4990000.0,6.0,5.0,2.0,2.0,34.0,289.0,381.0,
 Colonia Lomas del Paraíso 1a. Sección,44250,2850000.0,3.0,2.0,2.0,30.0,240.0,190.0,,
 Guadalajara,44240,2600000.0,5.0,3.0,6.0,,,,,
 Colonia La Perla,44360,3800000.0,5.0,5.0,6.0,2.0,40.0,250.0,430.0,
 Colonia Rinconada Santa Rita,44690,1235000.0,4.0,2.0,2.0,0.0,420.0,,,
 Colonia Lomas de Independencia,44240,883088.0,3.0,2.0,1.0,2.0,15.0,120.0,140.0,
 Colonia San Felipe,44380,3299000.0,3.0,2.0,0.0,169.0,150.0,,,
 Colonia Lomas Independencia,44350,714000.0,3.0,2.0,1.0,0.0,100.0,,,
 Guadalajara,44657,14500000.0,3.0,3.0,2.0,8.0,258.0,400.0,,
 Colonia Ampliación Talpita,44719,5500000.0,4.0,2.0,2.0,2.0,0.0,151.0,205.0,
 Colonia Jardines del Bosque Centro,44520,12990000.0,9.0,5.0,3.0,36.0,500.0,750.0,,
 Colonia Italia Providencia,44648,4750000.0,1.0,1.0,2.0,6.0,10.0,149.0,149.0,
 Colonia Jardines de La Barranca,44729,3050000.0,3.0,2.0,2.0,0.0,120.0,130.0,,
 Colonia Jardines Del Rosario,44890,4500000.0,3.0,3.0,2.0,2.0,22.0,172.0,275.0,
 Colonia Sagrada Familia,44200,5500000.0,7.0,3.0,2.0,3.0,35.0,165.0,342.0,
 Colonia Jardines de La Cruz 1a. Sección,44950,4350000.0,3.0,3.0,2.0,2.0,0.0,141.0,180.0,
 Colonia Jardines del Bosque Norte,44520,9000000.0,4.0,3.0,4.0,2.0,30.0,390.0,320.0,
 Colonia El Mirador,44370,805800.0,3.0,1.0,1.0,2.0,0.0,95.0,95.0,
 Colonia Santa Rosa,44700,615800.0,2.0,1.0,1.0,2.0,0.0,85.0,85.0,
 Colonia Barrio Mezquitan,44260,5000000.0,1.0,1.0,1.0,41.0,290.0,120.0,,
 Colonia Santa Elena Estadio,44230,2300000.0,5.0,2.0,2.0,50.0,105.0,152.0,,
 Colonia Santa Rosa,44700,789100.0,3.0,1.0,1.0,0.0,88.0,120.0,,
 Colonia Rincón Del Bosque,44530,8500000.0,4.0,4.0,3.0,0.0,302.0,453.0,,
 Colonia Bosques de La Victoria,44540,6400000.0,4.0,3.0,4.0,0.0,303.0,321.0,,
 Colonia Residencial Chapalita,44500,11800000.0,5.0,3.0,3.0,64.0,350.0,376.0,,
 Colonia Jardines del Bosque Centro,44520,6850000.0,4.0,4.0,4.0,2.0,50.0,336.0,360.0,72.0
 Colonia Rojas Ladrón de Guevara,44650,15670000.0,11.0,5.0,0.0,379.0,386.0,,,
 Colonia Alcalde Barranquitas,44270,3285000.0,3.0,2.0,3.0,0.0,84.0,160.0,,
 Colonia Country Club,44610,19900000.0,4.0,3.0,4.0,4.0,0.0,288.0,500.0,
 Colonia Independencia,44290,420000.0,4.0,2.0,1.0,1.0,10.0,227.0,365.0,20.0
 Colonia Jardines del Bosque Centro,44520,6300000.0,3.0,2.0,1.0,2.0,52.0,182.0,263.0,
 Colonia Lomas del Paraíso 2a. Sección,44250,13418000.0,6.0,3.0,5.0,17.0,943.0,407.0,,
 Colonia San Antonio,44170,21750000.0,5.0,4.0,5.0,51.0,492.0,412.0,,
 Colonia Vallarta Norte,44690,13000000.0,5.0,4.0,4.0,0.0,437.0,450.0,,
 Colonia Circunvalación Américas,44630,12900000.0,4.0,4.0,4.0,20.0,265.0,322.0,,
 Colonia Santa Elena Alcalde Poniente,44220,6150000.0,7.0,2.0,1.0,0.0,175.0,256.0,,
 Colonia Santa Mónica,44220,755396.0,3.0,2.0,1.0,2.0,0.0,170.0,250.0,
 Colonia Jardines El Sauz,44987,933000.0,2.0,1.0,1.0,2.0,0.0,110.0,105.0,
 Colonia Monraz,44670,4547716.0,1.0,1.0,1.0,0.0,60.0,60.0,,
 Colonia Santa Cecilia 3a. Sección,44700,34650000.0,7.0,3.0,6.0,0.0,8448.0,594.0,,
 Guadalajara,44220,7500000.0,10.0,3.0,4.0,0.0,400.0,750.0,,
 Colonia Ladrón de Guevara,44600,7100000.0,6.0,4.0,2.0,0.0,280.0,350.0,,
 Colonia Jardines Alcalde,44298,595000.0,3.0,3.0,2.0,2.0,0.0,145.0,230.0,
 Guadalajara,44690,12000000.0,9.0,11.0,5.0,0.0,400.0,480.0,,
 Colonia Lomas Independencia,44350,2347700.0,3.0,2.0,1.0,2.0,30.0,,,
 Colonia Jardines Del Sur,44950,4200000.0,4.0,3.0,2.0,29.0,129.0,206.0,,
 Colonia El Rosario,44890,450000.0,3.0,2.0,2.0,2.0,1.0,130.0,163.0,
 Colonia El Rosario,44890,450000.0,1.0,1.0,1.0,1.0,130.0,130.0,,
 Guadalajara,44540,10490000.0,4.0,3.0,3.0,0.0,272.0,400.0,,
 Colonia Guadalajara Centro,44100,4500000.0,4.0,2.0,0.0,238.0,327.0,,,
 Colonia Circunvalación Vallarta,44680,6900000.0,4.0,3.0,2.0,2.0,40.0,180.0,240.0,
 Colonia Bosques de La Victoria,44540,878000.0,5.0,3.0,2.0,2.0,24.0,250.0,329.0,
 Colonia Jardines del Bosque Centro,44520,10697000.0,6.0,4.0,2.0,40.0,260.0,480.0,,
 Colonia Jardines de Santa Isabel,44300,5799999.0,3.0,3.0,5.0,3.0,10.0,309.0,386.0,
 Colonia Jardines de Atemajac,44227,2700000.0,3.0,2.0,2.0,2.0,8.0,87.0,113.0,
 Colonia Jardines del Bosque Norte,44520,6950000.0,3.0,2.0,2.0,51.0,275.0,245.0,,
 Colonia San Andrés Gigantes,44810,580000.0,3.0,3.0,1.0,3.0,10.0,120.0,200.0,
 Colonia San Antonio,44170,9900000.0,4.0,3.0,1.0,51.0,200.0,402.0,,
 Guadalajara,44660,11900000.0,7.0,8.0,2.0,33.0,250.0,529.0,,
 Colonia Mezquitan,44260,4210000.0,6.0,4.0,1.0,41.0,140.0,250.0,,
 Guadalajara,44660,11900000.0,7.0,8.0,2.0,33.0,250.0,529.0,,
 Colonia Mezquitan,44260,4210000.0,6.0,4.0,1.0,41.0,140.0,250.0,,
 Colonia Magaña,44800,4800000.0,8.0,4.0,6.0,84.0,300.0,330.0,,
 Colonia Barrio Mezquitan,44260,4200000.0,3.0,3.0,1.0,31.0,135.0,135.0,,
 Colonia Prados de Providencia,44670,10750000.0,4.0,3.0,2.0,13.0,290.0,297.0,,
 Colonia Residencial San Elias,44240,640000.0,3.0,2.0,2.0,2.0,0.0,86.0,104.0,
 Colonia Los Arrayanes,44766,545000.0,3.0,2.0,2.0,2.0,1.0,160.0,,
 Colonia Panorámica Huentitán,44259,10900000.0,6.0,6.0,2.0,3.0,0.0,178.0,696.0,
 Colonia Rancho Nuevo 1ra. Sección,44240,3950000.0,5.0,5.0,0.0,300.0,283.0,,,
 Guadalajara,44670,11000000.0,4.0,4.0,2.0,0.0,152.0,315.0,,
 Colonia Jardines Alcalde,44298,595000.0,3.0,2.0,2.0,3.0,5.0,145.0,230.0,100.0
 Colonia Oblatos,44700,2900000.0,8.0,3.0,2.0,39.0,307.0,400.0,,
 Colonia San Antonio,44800,2380000.0,2.0,2.0,1.0,0.0,72.0,105.0,,
 Colonia Ladrón de Guevara,44600,9200000.0,3.0,2.0,2.0,1.0,30.0,276.0,209.0,
 Colonia San Juan de Dios,44360,7677000.0,11.0,11.0,0.0,600.0,840.0,,,
 Colonia Jardines de Guadalupe,44740,2800000.0,1.0,1.0,1.0,30.0,123.0,156.0,,
 Colonia Circunvalación Vallarta,44680,6900000.0,3.0,2.0,2.0,24.0,167.0,254.0,,
 Colonia Guadalupana Sur,44220,1799000.0,2.0,2.0,1.0,2.0,20.0,40.0,80.0,
 Colonia Chapultepec Country,44620,10200000.0,4.0,5.0,3.0,44.0,313.0,483.0,,
 Colonia Blanco y Cuellar 2da.,44730,2800000.0,5.0,3.0,2.0,44.0,116.0,245.0,,
 Colonia Italia Providencia,44648,13800000.0,4.0,4.0,3.0,0.0,319.0,425.0,,
 Colonia Colinas de San Javier,44660,33250000.0,3.0,4.0,6.0,18.0,850.0,570.0,,
 Colonia Rinconada Santa Rita,44690,12200000.0,3.0,4.0,2.0,3.0,21.0,303.0,343.0,
 Colonia Providencia 2a Secc,44630,11990000.0,3.0,4.0,2.0,0.0,270.0,290.0,,
 Colonia Independencia Oriente,44340,5700000.0,3.0,2.0,3.0,2.0,8.0,234.0,300.0,
 Colonia Colinas de San Javier,44660,41000000.0,4.0,5.0,5.0,1.0,28.0,1000.0,1000.0,
 Colonia Arcos Sur,44500,9880000.0,5.0,4.0,3.0,2.0,0.0,266.0,406.0,
 Colonia Chapultepec Country,44620,10900000.0,3.0,2.0,2.0,2.0,40.0,450.0,307.0,
 Colonia Jardines de La Paz,44860,765000.0,3.0,2.0,1.0,2.0,5.0,135.0,170.0,100.0
 Colonia Jardines de La Paz,44860,765000.0,3.0,2.0,1.0,2.0,5.0,135.0,170.0,100.0
 Colonia Providencia 4a Secc,44639,8950000.0,5.0,3.0,2.0,30.0,241.0,439.0,,
 Colonia Villas Del Nilo,44824,720000.0,3.0,2.0,2.0,2.0,0.0,136.0,,
 Colonia Arcos Vallarta,44130,8950000.0,8.0,1.0,6.0,3.0,11.0,220.0,290.0,
 Colonia Lomas de Independencia,44240,21000000.0,2.0,2.0,7.0,16.0,1026.0,1011.0,,
 Colonia Progreso,44730,700000.0,3.0,2.0,1.0,1.0,0.0,110.0,100.0,
 Colonia Blanco y Cuellar 1ra.,44730,9800000.0,10.0,7.0,2.0,0.0,520.0,734.0,,
 Colonia Colinas de San Javier,44660,30000000.0,3.0,6.0,6.0,47.0,1396.0,750.0,,
 Colonia Vallarta Poniente,44110,13950000.0,5.0,2.0,4.0,2.0,30.0,540.0,505.0,
 Colonia Jardines del Bosque Centro,44520,6880000.0,3.0,2.0,2.0,1.0,42.0,290.0,260.0,
 Colonia Verde Valle,44550,14990000.0,4.0,8.0,4.0,2.0,0.0,682.0,753.0,
 Colonia Beatriz Hernández,44760,1300000.0,2.0,1.0,1.0,0.0,62.0,,,
 Colonia Jardines Alcalde,44298,5200000.0,6.0,5.0,1.0,46.0,412.0,408.0,12.0,
 Colonia Lomas de Independencia,44240,507100.0,3.0,2.0,2.0,2.0,15.0,100.0,120.0,
 Colonia Guadalupana Norte,44220,995000.0,3.0,1.0,1.0,2.0,0.0,95.0,95.0,
 Colonia Olímpica,44430,1215000.0,3.0,1.0,1.0,1.0,18.0,110.0,90.0,
 Colonia Ladrón de Guevara,44600,11600000.0,4.0,3.0,2.0,21.0,250.0,342.0,,
 Colonia Lagos de Oriente,44770,588000.0,3.0,1.0,2.0,2.0,20.0,96.0,110.0,
 Colonia San Martín Anexo,44710,5000000.0,2.0,3.0,150.0,300.0,,,,
 Colonia Colomos Providencia,44660,6300000.0,2.0,3.0,2.0,0.0,97.0,130.0,,
 Colonia Santa María,44350,2400000.0,4.0,2.0,1.0,0.0,120.0,188.0,,
 Colonia Insurgentes 1a Secc,44820,780000.0,3.0,1.0,1.0,2.0,1.0,145.0,,
 Colonia Vallarta Norte,44690,14749000.0,5.0,3.0,0.0,391.0,437.0,,,
 Colonia Medrano,44410,6489000.0,2.0,1.0,5.0,2.0,4.0,525.0,392.0,
 Colonia Vallarta Norte,44690,14000000.0,4.0,3.0,2.0,0.0,391.0,489.0,,
 Colonia División del Norte,44230,13000000.0,6.0,5.0,3.0,2.0,20.0,450.0,535.0,
 Colonia Huentitán El Alto,44390,2490000.0,3.0,2.0,2.0,2.0,9.0,88.0,101.0,
 Colonia Colomos Providencia,44660,4995000.0,3.0,3.0,1.0,0.0,75.0,94.0,,
 Colonia Atlas,44870,362000.0,3.0,2.0,1.0,1.0,0.0,75.0,60.0,
 Colonia Ferrocarril,44440,580000.0,2.0,1.0,1.0,1.0,0.0,60.0,50.0,
 Colonia Circunvalación Vallarta,44680,14600000.0,4.0,5.0,3.0,15.0,360.0,650.0,,
 Colonia Morelos,44910,5190000.0,6.0,4.0,1.0,2.0,40.0,300.0,215.0,85.0
 Colonia Jardines de Guadalupe,44740,10600000.0,3.0,2.0,0.0,300.0,400.0,,,
 Colonia Providencia 3a Secc,44630,12500000.0,5.0,3.0,4.0,54.0,308.0,454.0,,
 Colonia Lafayette,44150,6000000.0,3.0,1.0,2.0,2.0,45.0,150.0,188.0,16.0
 Colonia Jardines de San José,44950,550000.0,4.0,2.0,2.0,1.0,0.0,270.0,270.0,
 Colonia Lázaro Cárdenas,44490,2520000.0,2.0,1.0,1.0,2.0,15.0,63.0,110.0,
 Colonia La Loma,44410,1840000.0,4.0,2.0,2.0,0.0,100.0,134.0,,
 Colonia Circunvalación Vallarta,44680,12250000.0,5.0,2.0,52.0,480.0,356.0,,,
 Colonia Vallarta Norte,44690,10990000.0,3.0,4.0,3.0,0.0,250.0,380.0,,
 Colonia Residencial Chapalita,44500,12900000.0,3.0,3.0,4.0,40.0,463.0,593.0,,
 Colonia Fraccionamiento Residencial Victoria,44560,6300000.0,3.0,2.0,2.0,30.0,180.0,197.0,,
 Colonia Jardines de Guadalupe,44740,2900000.0,0.0,243.0,268.0,,,,,
 Colonia Jardines del Country,44210,785000.0,5.0,6.0,2.0,2.0,0.0,320.0,495.0,
 Colonia Rinconada San Andres,44755,5250000.0,4.0,4.0,2.0,34.0,256.0,358.0,,
 Colonia Residencial Chapalita,44500,11290000.0,3.0,4.0,4.0,0.0,279.0,170.0,,
 Colonia Palacio de Gobierno Del Estado de Jalisco,44009,510000.0,3.0,2.0,2.0,2.0,0.0,180.0,,
 Guadalajara,44400,5950000.0,3.0,4.0,3.0,0.0,207.0,240.0,,
 Colonia Postes Cuates (Federalismo),44350,3065000.0,3.0,2.0,1.0,2.0,0.0,120.0,115.0,
 Colonia San Antonio,44800,2850000.0,3.0,1.0,1.0,2.0,29.0,64.0,123.0,
 El Retiro,44280,4700000.0,6.0,3.0,1.0,2.0,30.0,176.0,261.0,
 Colonia San Antonio,44800,6500000.0,9.0,6.0,10.0,52.0,617.0,400.0,,
 Guadalajara,44550,15000000.0,6.0,4.0,0.0,641.0,532.0,,,
 Colonia Guadalajara Oriente,44700,403900.0,3.0,2.0,2.0,0.0,100.0,100.0,,
 Colonia Belisario Domínguez,44320,3064000.0,3.0,2.0,1.0,2.0,0.0,172.0,211.0,
 Colonia Real,44400,3100000.0,4.0,2.0,1.0,0.0,110.0,201.0,,
 Colonia Country Club,44610,20500000.0,5.0,6.0,5.0,14.0,436.0,600.0,,
 Guadalajara,44740,30000000.0,5.0,8.0,0.0,2500.0,1300.0,,,
 Colonia Colomos Providencia,44660,14000000.0,3.0,4.0,3.0,0.0,840.0,600.0,,
 Colonia Moderna,44190,5500000.0,4.0,2.0,2.0,2.0,0.0,210.0,318.0,
 Colonia Providencia 3a Secc,44630,15500000.0,4.0,4.0,5.0,0.0,287.0,350.0,,
 Colonia Residencial Chapalita,44500,7850000.0,2.0,2.0,3.0,39.0,248.0,210.0,,
 Colonia Jardines del Bosque Norte,44520,15990000.0,0.0,600.0,,,,,,
 Colonia Residencial Chapalita,44500,16000000.0,9.0,4.0,2.0,0.0,546.0,851.0,,
 Guadalajara,44190,17350000.0,8.0,4.0,15.0,34.0,618.0,963.0,,
 Colonia Italia Providencia,44648,7850000.0,3.0,3.0,2.0,0.0,187.0,300.0,,
 Colonia Jardines del Country,44210,6999000.0,6.0,6.0,2.0,2.0,0.0,177.0,300.0,20.0
 Colonia Italia Providencia,44648,5850000.0,3.0,3.0,2.0,2.0,0.0,145.0,203.0,
 Colonia Antigua Penal de Oblatos,44730,5600000.0,5.0,3.0,0.0,280.0,202.0,,,
 Colonia Vallarta Norte,44690,36000000.0,1.0,6.0,3.0,14.0,489.0,773.0,,
 Colonia Vallarta Poniente,44110,6900000.0,6.0,3.0,4.0,3.0,48.0,231.0,296.0,
 Colonia Colinas de La Normal,44270,8200000.0,5.0,3.0,5.0,0.0,377.0,,,
 Colonia Del Sur,44920,2790000.0,3.0,3.0,1.0,116.0,,,,
 Colonia Jardines del Bosque Norte,44520,4800000.0,3.0,2.0,2.0,2.0,18.0,124.0,177.0,
 Colonia Atlas,44870,2299000.0,4.0,2.0,30.0,81.0,123.0,,,
 Colonia Huentitán El Bajo,44250,5130000.0,6.0,6.0,1.0,46.0,244.0,332.0,,
 Colonia Quinta Velarde,44430,7000000.0,3.0,3.0,4.0,2.0,20.0,310.0,374.0,
 Guadalajara,44320,5500000.0,4.0,3.0,0.0,270.0,246.0,,,
 Colonia Barrera,44150,15000000.0,10.0,10.0,1.0,0.0,190.0,390.0,,
 Colonia Colomos Providencia,44660,8980000.0,3.0,2.0,2.0,3.0,15.0,179.0,265.0,
 Colonia Ladrón de Guevara,44600,11500000.0,4.0,2.0,0.0,310.0,278.0,,,
 Colonia Atlas Poniente,44870,361084.0,2.0,2.0,2.0,2.0,0.0,110.0,,
 Colonia Guadalajara Centro,44100,6550000.0,9.0,3.0,1.0,2.0,40.0,268.0,266.0,
 Colonia Rojas Ladrón de Guevara,44650,3850000.0,0.0,181.0,180.0,,,,,
 Guadalajara,44800,1900000.0,3.0,1.0,0.0,150.0,100.0,,,
 Colonia Analco,44450,3100000.0,4.0,2.0,0.0,125.0,246.0,,,
 Colonia Arcos Vallarta,44130,8300000.0,3.0,1.0,3.0,62.0,200.0,367.0,,
 Colonia Blanco y Cuellar 2da.,44730,650000.0,3.0,1.0,2.0,2.0,0.0,160.0,,
 Colonia Lomas Del Paradero,44840,1990000.0,2.0,1.0,1.0,0.0,70.0,140.0,,
 Colonia Jardines del Bosque Norte,44520,9650000.0,3.0,2.0,0.0,,,,,
 Guadalajara,44600,6900000.0,6.0,3.0,0.0,152.0,219.0,,,
 Colonia Providencia 2a Secc,44630,13900000.0,3.0,3.0,2.0,40.0,307.0,374.0,,
 Colonia Moderna,44190,5000000.0,4.0,2.0,2.0,2.0,30.0,210.0,318.0,
 Colonia Del Sur,44920,3190000.0,3.0,3.0,1.0,143.0,130.0,,,
 Colonia Paseos Independencia,44240,,2.0,1.0,1.0,0.0,70.0,70.0,,
 Colonia Belisario Domínguez,44320,650000.0,3.0,2.0,2.0,2.0,0.0,180.0,210.0,
 Colonia Ramón Corona,44265,2950000.0,3.0,1.0,1.0,0.0,58.0,79.0,,
 Colonia Parques Del Nilo,44820,3299000.0,3.0,2.0,2.0,9.0,105.0,100.0,,
 Colonia Alcalde Barranquitas,44270,4150000.0,3.0,2.0,2.0,1.0,25.0,143.0,153.0,
 Guadalajara,44210,7990000.0,6.0,5.0,3.0,0.0,267.0,470.0,,
 Colonia Lomas de Oblatos 1a Secc,44720,580000.0,3.0,2.0,1.0,2.0,0.0,124.0,95.0,
 Colonia Jardines del Bosque Centro,44520,11490000.0,6.0,1.0,8.0,24.0,412.0,462.0,,
 Colonia Huentitán El Alto,44390,29000000.0,0.0,3500.0,250.0,,,,,
 Colonia Jardines de San José,44950,471000.0,3.0,2.0,2.0,2.0,0.0,130.0,130.0,
 Colonia Jardines del Country,44210,750000.0,4.0,3.0,2.0,1.0,0.0,230.0,,
 Colonia Bosques de La Victoria,44540,15800000.0,4.0,8.0,3.0,2.0,0.0,420.0,481.0,
 Colonia Zona Industrial,44940,3600000.0,5.0,3.0,4.0,0.0,258.0,181.0,,
 Colonia Providencia Sur,44658,13200000.0,4.0,4.0,4.0,4.0,40.0,310.0,508.0,
 Colonia El Retiro,44280,4700000.0,5.0,3.0,1.0,0.0,176.0,261.0,,
 Colonia Lomas Del Paradero,44840,6100000.0,4.0,3.0,4.0,31.0,177.0,383.0,,
 Colonia Jardines del Bosque Centro,44520,15500000.0,4.0,4.0,3.0,38.0,340.0,535.0,,
 Colonia Independencia,44290,5300000.0,4.0,4.0,2.0,2.0,0.0,200.0,220.0,
 Colonia Fraccionamiento Residencial Victoria,44560,7150000.0,4.0,2.0,3.0,0.0,180.0,343.0,,
 Colonia López Portillo,44960,1445000.0,3.0,2.0,1.0,2.0,0.0,120.0,115.0,
 Colonia Aldama Tetlán,44820,2900000.0,2.0,2.0,2.0,6.0,166.0,120.0,,
 Colonia Campo de Polo Chapalita,44500,16500000.0,5.0,3.0,4.0,2.0,45.0,551.0,600.0,
 Colonia El Retiro,44280,2711909.0,4.0,4.0,2.0,0.0,245.0,,,
 Colonia Echeverría 3a. Sección,44970,2550000.0,3.0,1.0,2.0,30.0,160.0,259.0,,
 Colonia Jardines del Country,44210,10800000.0,5.0,3.0,3.0,22.0,255.0,387.0,,
 Colonia Circunvalación Guevara,44680,12250000.0,4.0,2.0,3.0,0.0,408.0,356.0,,
 Colonia Colinas de San Javier,44660,887990.0,5.0,4.0,5.0,1.0,0.0,2400.0,945.0,
 Guadalajara,44410,29000000.0,4.0,4.0,6.0,0.0,350.0,650.0,,
 Colonia Revolución,44400,1600000.0,2.0,1.0,1.0,25.0,150.0,30.0,,
 Colonia Circunvalación Belisario,44330,3200000.0,4.0,2.0,0.0,126.0,221.0,,,
 Colonia Independencia,44290,5300000.0,4.0,4.0,2.0,0.0,200.0,220.0,,
 Colonia Country Club,44610,22400000.0,5.0,6.0,5.0,0.0,426.0,590.0,,
 Colonia San Andrés,44810,2550000.0,5.0,2.0,1.0,0.0,97.0,170.0,,
 Colonia Colomos Providencia,44660,19950000.0,5.0,5.0,5.0,0.0,540.0,580.0,,
 Colonia San Andrés Gigantes,44810,1652000.0,2.0,1.0,1.0,0.0,100.0,100.0,,
 Colonia San Antonio,44800,3300000.0,2.0,1.0,0.0,160.0,140.0,,,
 Colonia Huentitán El Bajo,44250,392040.0,1.0,1.0,1.0,2.0,10.0,147.0,147.0,
 Colonia Colinas de San Javier,44660,30000000.0,3.0,6.0,6.0,32.0,1400.0,750.0,,
 Colonia Insurgentes 1a Secc,44820,3550000.0,7.0,2.0,2.0,3.0,20.0,181.0,327.0,
 Colonia Batallón de San Patricio,44300,670000.0,3.0,2.0,1.0,2.0,14.0,181.0,350.0,
 Colonia Batallón de San Patricio,44300,670000.0,3.0,2.0,1.0,2.0,14.0,181.0,350.0,
